file,rps,time_per_request_ms,failed_requests,run_id,scenario,profile
ab___p_1_rep1.txt,61.92,161.5,0.0,20260423T204218Z_general_S1,S1,general
ab___p_1_rep2.txt,62.07,161.102,0.0,20260423T204218Z_general_S1,S1,general
ab___p_1_rep3.txt,57.44,174.098,0.0,20260423T204218Z_general_S1,S1,general
ab___rep1.txt,13.54,738.487,0.0,20260423T204218Z_general_S1,S1,general
ab___rep2.txt,13.67,731.784,0.0,20260423T204218Z_general_S1,S1,general
ab___rep3.txt,13.26,754.004,0.0,20260423T204218Z_general_S1,S1,general
ab___p_1_rep1.txt,,,,20260423T211704Z_compute_S1,S1,compute
ab___p_1_rep2.txt,,,,20260423T211704Z_compute_S1,S1,compute
ab___p_1_rep3.txt,,,,20260423T211704Z_compute_S1,S1,compute
ab___rep1.txt,,,,20260423T211704Z_compute_S1,S1,compute
ab___rep2.txt,,,,20260423T211704Z_compute_S1,S1,compute
ab___rep3.txt,,,,20260423T211704Z_compute_S1,S1,compute
ab___p_1_rep1.txt,,,,20260423T211706Z_compute_S2,S2,compute
ab___p_1_rep2.txt,,,,20260423T211706Z_compute_S2,S2,compute
ab___p_1_rep3.txt,,,,20260423T211706Z_compute_S2,S2,compute
ab___rep1.txt,,,,20260423T211706Z_compute_S2,S2,compute
ab___rep2.txt,,,,20260423T211706Z_compute_S2,S2,compute
ab___rep3.txt,,,,20260423T211706Z_compute_S2,S2,compute
ab___p_1_rep1.txt,,,,20260423T211709Z_compute_S3,S3,compute
ab___p_1_rep2.txt,,,,20260423T211709Z_compute_S3,S3,compute
ab___p_1_rep3.txt,,,,20260423T211709Z_compute_S3,S3,compute
ab___rep1.txt,,,,20260423T211709Z_compute_S3,S3,compute
ab___rep2.txt,,,,20260423T211709Z_compute_S3,S3,compute
ab___rep3.txt,,,,20260423T211709Z_compute_S3,S3,compute
ab___p_1_rep1.txt,,,,20260423T211713Z_memory_S1,S1,memory
ab___p_1_rep2.txt,,,,20260423T211713Z_memory_S1,S1,memory
ab___p_1_rep3.txt,,,,20260423T211713Z_memory_S1,S1,memory
ab___rep1.txt,,,,20260423T211713Z_memory_S1,S1,memory
ab___rep2.txt,,,,20260423T211713Z_memory_S1,S1,memory
ab___rep3.txt,,,,20260423T211713Z_memory_S1,S1,memory
ab___p_1_rep1.txt,,,,20260423T211715Z_memory_S2,S2,memory
ab___p_1_rep2.txt,,,,20260423T211715Z_memory_S2,S2,memory
ab___p_1_rep3.txt,,,,20260423T211715Z_memory_S2,S2,memory
ab___rep1.txt,,,,20260423T211715Z_memory_S2,S2,memory
ab___rep2.txt,,,,20260423T211715Z_memory_S2,S2,memory
ab___rep3.txt,,,,20260423T211715Z_memory_S2,S2,memory
ab___p_1_rep1.txt,,,,20260423T211717Z_memory_S3,S3,memory
ab___p_1_rep2.txt,,,,20260423T211717Z_memory_S3,S3,memory
ab___p_1_rep3.txt,,,,20260423T211717Z_memory_S3,S3,memory
ab___rep1.txt,,,,20260423T211717Z_memory_S3,S3,memory
ab___rep2.txt,,,,20260423T211717Z_memory_S3,S3,memory
ab___rep3.txt,,,,20260423T211717Z_memory_S3,S3,memory
